A1,A2,B,C,all_cat,belongs_cat,case_id,expected,family,have_cat,observed,passed,predicate,predicate_raw,quantifier,quantifier_raw,relation,relation_raw,valid
,,,,,,unique_numeric_identity,all token codes and embeddings unique,token_code_embedding_uniqueness,,unique,True,,,,,,,
,,,,,,belongs to,107,raw_phrase_generation,,107,True,,,,,,,
,,,,,,is part of,108,raw_phrase_generation,,108,True,,,,,,,
,,,,,,is among,109,raw_phrase_generation,,109,True,,,,,,,
,,,,,,is in,110,raw_phrase_generation,,110,True,,,,,,,
,,,,,,all,201,raw_phrase_generation,,201,True,,,,,,,
,,,,,,every,202,raw_phrase_generation,,202,True,,,,,,,
,,,,,,each,203,raw_phrase_generation,,203,True,,,,,,,
,,,,,,any,204,raw_phrase_generation,,204,True,,,,,,,
,,,,,,have,301,raw_phrase_generation,,301,True,,,,,,,
,,,,,,has,302,raw_phrase_generation,,302,True,,,,,,,
,,,,,,possess,303,raw_phrase_generation,,303,True,,,,,,,
,,,,,,own,304,raw_phrase_generation,,304,True,,,,,,,
,,,,,,carry,305,raw_phrase_generation,,305,True,,,,,,,
,,,,,,contain,306,raw_phrase_generation,,306,True,,,,,,,
,,,,,,near,901,raw_phrase_generation,,901,True,,,,,,,
,,,,,,beside,902,raw_phrase_generation,,902,True,,,,,,,
,,,,,,before,903,raw_phrase_generation,,903,True,,,,,,,
,,,,,,after,904,raw_phrase_generation,,904,True,,,,,,,
,,,,,,raw=1,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=1,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=1,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=2,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=2,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=2,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=3,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=3,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=3,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=4,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=4,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=4,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=5,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=5,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=5,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=6,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=6,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=6,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=7,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=7,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=7,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=8,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=8,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=8,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=9,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=9,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=9,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=10,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=10,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=10,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=11,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=11,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=11,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=12,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=12,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=12,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=13,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=13,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=13,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=14,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=14,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=14,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=15,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=15,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=15,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=16,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=16,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=16,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=17,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=17,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=17,0,predicate_interval,,0,True,,,,,,,
,,,,,,raw=18,0,relation_interval,,0,True,,,,,,,
,,,,,,raw=18,0,quantifier_interval,,0,True,,,,,,,
,,,,,,raw=18,0,predicate_interval,,0,True,,,,,,,
